Epoch,Train Loss,Train Accuracy,Train Time (s),Test Loss,Test Accuracy,Inference Time (s),Learning Rate
1,1.7972183209292742,32.64,23.2284197807312,,,,0.0008
2,1.7711717589777343,32.748,21.0602445602417,,,,0.0008
3,1.6550185631732552,37.266,21.07456135749817,,,,0.0008
4,1.5515384911274424,41.908,21.073606252670288,,,,0.0008
5,1.4704316002982003,45.652,21.10019612312317,1.4094168543815613,47.54,2.1040842533111572,0.0008
6,1.329486953360694,51.23,20.71598792076111,,,,0.0008
7,1.2790346066562497,53.0,20.699568510055542,,,,0.0008
8,1.229704847141188,55.112,20.718727350234985,,,,0.0008
9,1.181842069540705,56.786,20.690773010253906,,,,0.0008
10,1.1321959912168735,58.82,20.736355304718018,1.1295080602169036,59.26,2.085874080657959,0.0008
11,1.108291088014233,59.72,20.705790042877197,,,,0.0008
12,1.061617717755084,61.37,20.701906442642212,,,,0.0008
13,1.0386357711894172,62.326,20.686410903930664,,,,0.0008
14,1.015143144191528,63.274,20.6877384185791,,,,0.0008
15,0.97946007336889,64.678,20.68402624130249,0.9998899281024933,64.55,2.06410551071167,0.0008
16,0.9692603167222471,65.106,20.687305688858032,,,,0.0008
17,0.9420135656789858,66.178,20.686835765838623,,,,0.0008
18,0.9264112111865258,66.956,20.69490647315979,,,,0.0008
19,0.8968371940510613,68.068,20.68632197380066,,,,0.0008
20,0.8772954633649515,68.494,20.68289542198181,0.9784826219081879,64.91,2.0648136138916016,0.0008
21,0.8622614200017891,69.074,20.69006657600403,,,,0.0008
22,0.8443414958155885,69.816,20.744272708892822,,,,0.0008
23,0.8369174137407419,70.306,20.72264051437378,,,,0.0008
24,0.8216623298975886,70.796,20.709049701690674,,,,0.0008
25,0.8128361927003277,71.062,20.694079160690308,0.8483010053634643,69.71,2.0712978839874268,0.0008
26,0.8023439344702935,71.612,20.701316356658936,,,,0.0008
27,0.7881371868508202,71.996,20.70078420639038,,,,0.0008
28,0.7773039876198282,72.486,20.696998119354248,,,,0.0008
29,0.7646523075444358,72.814,20.707141399383545,,,,0.0008
30,0.7424850463867188,73.728,20.690969228744507,0.7872813552618027,72.54,2.0886852741241455,0.0008
31,0.7398059431995664,73.606,20.697815656661987,,,,0.0008
32,0.7269272302486458,74.434,20.69116497039795,,,,0.0008
33,0.717974810271847,74.394,20.703452587127686,,,,0.0008
34,0.7056009021340585,75.316,20.707138061523438,,,,0.0008
35,0.7026038200271373,75.012,20.68449592590332,0.784614060819149,72.56,2.0648417472839355,0.0008
36,0.6824897591556821,75.834,20.725769996643066,,,,0.0008
37,0.6806644009692329,75.898,20.687530755996704,,,,0.0008
38,0.6692223238701723,76.264,20.704434394836426,,,,0.0008
39,0.6654506468651246,76.42,20.71189856529236,,,,0.0008
40,0.6576466590774303,76.552,20.692720651626587,0.7284994959831238,74.86,2.0860912799835205,0.0008
41,0.6523214388562708,76.724,20.688143253326416,,,,0.0008
42,0.6421773959787525,77.222,20.694854259490967,,,,0.0008
43,0.6307032316619036,77.64,20.697356700897217,,,,0.0008
44,0.6229019400720693,77.928,20.69142198562622,,,,0.0008
45,0.6158366279334438,78.332,20.6914701461792,0.7171956658363342,75.17,2.0952699184417725,0.0008
46,0.6073113663160071,78.474,20.70109248161316,,,,0.0008
47,0.5978562584032818,78.866,20.701126098632812,,,,0.0008
48,0.5877953839241242,79.176,20.702893495559692,,,,0.0008
49,0.5813733272406519,79.404,20.693236112594604,,,,0.0008
50,0.5794414709113083,79.5,20.6990385055542,0.6614513881504536,77.22,2.085217237472534,0.0008
51,0.567872837946123,79.76,20.705440282821655,,,,0.0008
52,0.5628858876167512,79.882,20.716220140457153,,,,0.0008
53,0.5684609156177969,79.81,20.703959465026855,,,,0.0008
54,0.5656954868107426,79.986,20.681618213653564,,,,0.0008
55,0.557929306005945,80.224,20.714065551757812,0.6638523951172829,77.16,2.096029043197632,0.0008
56,0.5395495392838303,80.68,20.68914771080017,,,,0.0008
57,0.5333252048918179,81.16,20.69686508178711,,,,0.0008
58,0.5367882745910664,80.934,20.71626925468445,,,,0.0008
59,0.5246892537997694,81.21,20.72952699661255,,,,0.0008
60,0.523897609692447,81.21,20.701480627059937,0.6767420083284378,77.14,2.0699045658111572,0.0008
61,0.517881913148627,81.57,20.695998907089233,,,,0.0008
62,0.5086912734776127,81.878,20.692036151885986,,,,0.0008
63,0.5070561175139583,81.866,20.722966194152832,,,,0.0008
64,0.4928328685310422,82.362,20.709911823272705,,,,0.0008
65,0.4893708662415037,82.386,20.721875190734863,0.6763222441077232,77.66,2.1172749996185303,0.0008
66,0.4886184643421854,82.494,20.72177505493164,,,,0.0008
67,0.4798038627724258,82.776,20.703680276870728,,,,0.0008
68,0.4695081540516445,83.294,20.719171047210693,,,,0.0008
69,0.4734166573200907,82.898,20.726521968841553,,,,0.0008
70,0.46995608995155413,83.064,20.70799231529236,0.6858128428459167,76.91,2.108119010925293,0.0008
71,0.4695423689423775,83.078,20.741777658462524,,,,0.0008
72,0.4545843856675284,83.904,20.698342323303223,,,,0.0008
73,0.4526888202039563,83.762,20.702885150909424,,,,0.0008
74,0.46209146599380335,83.362,20.7100830078125,,,,0.0008
75,0.44606493641527334,83.954,20.68987488746643,0.6569803431630135,77.93,2.0939106941223145,0.0008
76,0.43226650904635994,84.582,20.689192533493042,,,,0.0008
77,0.4268283349822979,84.692,20.699159383773804,,,,0.0008
78,0.4221043582169377,84.902,20.698736429214478,,,,0.0008
79,0.4135320800907758,85.216,20.7178795337677,,,,0.0008
80,0.4097199403509802,85.148,20.703734397888184,0.6849563777446747,77.18,2.0692989826202393,0.0008
81,0.4076613262295723,85.354,20.712209224700928,,,,0.0008
82,0.4052677534672679,85.464,20.710875511169434,,,,0.0008
83,0.3990705470953669,85.654,20.705667972564697,,,,0.0008
84,0.39706132576173664,85.566,20.702678680419922,,,,0.0008
85,0.3989867558892892,85.724,20.692174673080444,0.7146392539143562,77.33,2.074846029281616,0.0008
