Epoch,Train Loss,Train Accuracy,Train Time (s),Test Loss,Test Accuracy,Inference Time (s),Learning Rate
1,2.2032716991950054,16.748,23.394339084625244,,,,0.0008
2,2.1198589217906094,20.656,21.35574221611023,,,,0.0008
3,2.1137161698876596,20.688,21.37839126586914,,,,0.0008
4,2.1119988578922895,20.768,21.38768434524536,,,,0.0008
5,2.0975332351363436,21.624,21.35401487350464,2.10536105632782,21.59,1.9869496822357178,0.0008
6,2.126755208385234,20.588,20.951490879058838,,,,0.0008
7,2.1020602565638873,21.306,20.976563215255737,,,,0.0008
8,2.091151029479747,21.894,20.96963930130005,,,,0.0008
9,2.1184166183277053,20.786,20.965105056762695,,,,0.0008
10,2.1105778557913646,21.418,20.95359182357788,2.181815928220749,19.2,1.9638862609863281,0.0008
11,2.1782830625164267,18.75,20.958070993423462,,,,0.0008
12,2.1698335068566457,18.74,20.956854820251465,,,,0.0008
13,2.1604024524591408,19.242,20.94159173965454,,,,0.0008
14,2.1314001582106767,20.566,20.938716888427734,,,,0.0008
15,2.127268727336611,20.754,20.93612027168274,2.2237834334373474,16.5,2.004772663116455,0.0008
16,2.1850364962402655,18.186,20.972368240356445,,,,0.0008
17,2.1717910839586843,18.838,20.946332216262817,,,,0.0008
18,2.1646307439220194,18.924,20.945194959640503,,,,0.0008
19,2.162327864948584,19.194,20.92464017868042,,,,0.0008
20,2.173266584775886,18.932,20.94234585762024,2.1543612718582152,20.81,1.9810714721679688,0.0008
21,2.1382585690945994,20.456,20.90544056892395,,,,0.0008
22,2.144869033171206,20.226,20.890385389328003,,,,0.0008
23,2.122412699217699,21.136,20.913329124450684,,,,0.0008
24,2.149058914914423,20.296,20.898253679275513,,,,0.0008
25,2.139448730313048,20.224,20.900596857070923,2.132024747133255,20.07,2.007547616958618,0.0008
26,2.1472762239222623,19.766,20.91214394569397,,,,0.0008
27,2.151188082840978,20.144,20.8828763961792,,,,0.0008
28,2.136549079904751,20.52,20.88191819190979,,,,0.0008
29,2.1238455979191526,20.698,20.898325204849243,,,,0.0008
30,2.1209122453417097,20.648,20.943630933761597,2.121002107858658,20.96,1.9660627841949463,0.0008
31,2.1111968488109354,21.234,20.89476466178894,,,,0.0008
32,2.107760870335053,21.52,20.923536777496338,,,,0.0008
33,2.1174952996020413,21.308,20.879074096679688,,,,0.0008
34,2.109258008246519,21.466,20.888875007629395,,,,0.0008
35,2.101238765278641,21.62,20.876825094223022,2.091605094075203,22.32,1.964721441268921,0.0008
36,2.0978384759961344,21.964,20.875791788101196,,,,0.0008
37,2.090071512728321,22.152,20.894734621047974,,,,0.0008
38,2.087740567873935,22.408,20.85439705848694,,,,0.0008
39,2.095047818154705,21.892,20.858059406280518,,,,0.0008
40,2.0836009754210103,22.336,20.870902061462402,2.076110741496086,22.45,1.9611084461212158,0.0008
41,2.087654483561613,22.076,20.835869073867798,,,,0.0008
42,2.088812443674827,21.96,20.840835571289062,,,,0.0008
43,2.0892711920397624,22.036,20.860416173934937,,,,0.0008
44,2.1083010155327466,21.466,20.86648654937744,,,,0.0008
45,2.1537438509415607,20.064,20.903488874435425,2.151188188791275,19.78,1.9677708148956299,0.0008
46,2.145775484795473,20.224,20.8647620677948,,,,0.0008
47,2.133124594785729,20.588,20.857727766036987,,,,0.0008
48,2.1310224484424203,20.62,20.859989166259766,,,,0.0008
49,2.1191199093448874,20.99,20.84617567062378,,,,0.0008
50,2.1128238013812473,21.626,20.847118139266968,2.1456506133079527,19.25,1.957815170288086,0.0008
51,2.1093849363375683,21.552,20.840229511260986,,,,0.0008
52,2.106369977094689,21.642,20.828792095184326,,,,0.0008
53,2.102228569741152,21.95,20.86367177963257,,,,0.0008
54,2.1042277983256747,21.714,20.843396186828613,,,,0.0008
55,2.106267598210549,21.596,20.84094262123108,2.1152423918247223,21.45,2.0213100910186768,0.0008
56,2.1061712880523835,21.68,20.828796863555908,,,,0.0008
57,2.102612718027465,21.82,20.870919704437256,,,,0.0008
58,2.104665635799875,21.732,20.85356044769287,,,,0.0008
59,2.1100973766677233,21.286,20.8612642288208,,,,0.0008
60,2.1026499015944347,21.546,20.86457848548889,2.114669907093048,21.39,1.9627835750579834,0.0008
61,2.100112033741815,21.908,20.841514110565186,,,,0.0008
62,2.103098508046598,21.93,20.853450536727905,,,,0.0008
63,2.126844097156914,20.988,20.862024784088135,,,,0.0008
64,2.1308263199669972,20.734,20.868818283081055,,,,0.0008
65,2.1346358328449484,20.354,20.870898485183716,2.1369236946105956,20.91,1.9639575481414795,0.0008
66,2.122842901823472,21.034,20.857619285583496,,,,0.0008
67,2.1206134582052427,21.252,20.856252431869507,,,,0.0008
68,2.115236457513303,21.328,20.873162031173706,,,,0.0008
69,2.128851762839726,20.734,20.859236478805542,,,,0.0008
70,2.117385465271619,20.952,20.866771936416626,2.1305112719535826,21.62,1.9676954746246338,0.0008
71,2.1201349934753106,21.15,20.85003161430359,,,,0.0008
72,2.117516670908247,21.136,20.847131729125977,,,,0.0008
73,2.116435116651107,21.152,20.838938236236572,,,,0.0008
74,2.115596562015767,21.208,20.846469402313232,,,,0.0008
75,2.121510013025634,21.148,20.828866004943848,2.133084148168564,20.94,1.9616069793701172,0.0008
76,2.116246654062855,21.276,20.860675811767578,,,,0.0008
77,2.1143199801445007,21.386,20.849456071853638,,,,0.0008
78,2.1078686191111196,21.738,20.870092391967773,,,,0.0008
79,2.1159316252688973,21.48,20.83555555343628,,,,0.0008
80,2.1235000016737957,20.836,20.810579776763916,2.1155384302139284,21.58,1.9791712760925293,0.0008
81,2.1177988782220956,21.054,20.82093906402588,,,,0.0008
82,2.133358381232437,20.57,20.824700832366943,,,,0.0008
83,2.1360731514132754,20.304,20.857069730758667,,,,0.0008
84,2.1235315495607803,20.926,20.839019775390625,,,,0.0008
85,2.1188927000882676,21.266,20.833032608032227,2.121792370080948,21.33,1.9907281398773193,0.0008
86,2.1107059595536213,21.442,20.833056926727295,,,,0.0008
87,2.1351480362366657,20.23,20.81856918334961,,,,0.0008
88,2.123491863815152,21.168,20.79670810699463,,,,0.0008
89,2.128852515804524,20.898,20.784079551696777,,,,0.0008
90,2.123286742336896,20.898,20.780287742614746,2.1299420595169067,21.56,1.9596524238586426,0.0008
91,2.1153456860659072,21.244,20.791550874710083,,,,0.0008
92,2.117097565105983,21.156,20.815887689590454,,,,0.0008
93,2.136656166339407,20.248,20.80565881729126,,,,0.0008
94,2.1204655109619606,20.862,20.807730197906494,,,,0.0008
95,2.1302440494907144,20.848,20.795483589172363,2.1419240832328796,20.13,2.0478875637054443,0.0008
96,2.127599314767487,21.214,20.775744199752808,,,,0.0008
97,2.1240045586410834,20.734,20.78284001350403,,,,0.0008
98,2.1327763929659005,20.49,20.803828716278076,,,,0.0008
99,2.1346969592327976,20.428,20.7806179523468,,,,0.0008
100,2.1612843554847094,19.498,20.831464290618896,2.146765986084938,20.25,1.9914822578430176,0.0008
101,2.137558895714429,20.416,20.79417395591736,,,,0.0008
102,2.1177895677332974,20.996,20.801594972610474,,,,0.0008
103,2.1238243932626686,20.676,20.80345392227173,,,,0.0008
104,2.126773268592601,21.084,20.806576251983643,,,,0.0008
105,2.129843475867291,21.212,20.79496955871582,2.1333251535892486,20.92,1.9983124732971191,0.0008
106,2.124761062008994,21.118,20.79987382888794,,,,0.0008
107,2.143776608973133,20.438,20.821708917617798,,,,0.0008
108,2.125756555674027,20.82,20.814908027648926,,,,0.0008
109,2.1179596526282176,21.102,20.800607442855835,,,,0.0008
110,2.1161982587405612,21.3,20.79588794708252,2.1162412464618683,21.86,1.971574306488037,0.0008
111,2.1196707012702007,21.04,20.780914068222046,,,,0.0008
112,2.132227811278129,20.554,20.836697578430176,,,,0.0008
113,2.127899467945099,20.784,20.797720432281494,,,,0.0008
114,2.120349997160386,21.128,20.821787118911743,,,,0.0008
115,2.133783441417071,20.356,20.81208038330078,2.1261452734470367,21.38,1.961859941482544,0.0008
116,2.115574912149079,21.226,20.79319953918457,,,,0.0008
117,2.1209611977849687,20.962,20.791683673858643,,,,0.0008
118,2.1278752976534316,20.82,20.83313751220703,,,,0.0008
119,2.1190393335965214,21.556,20.78075408935547,,,,0.0008
120,2.116367998171826,21.562,20.801556825637817,2.1513330340385437,20.89,1.9649341106414795,0.0008
121,2.1187170318194797,21.192,20.790215969085693,,,,0.0008
122,2.1153163617970994,21.706,20.781160593032837,,,,0.0008
123,2.1119632793932546,21.846,20.850194454193115,,,,0.0008
124,2.1064572455931683,21.806,20.791138648986816,,,,0.0008
125,2.103084070341928,21.798,20.779081344604492,2.102154105901718,22.23,1.9581644535064697,0.0008
126,2.11021050871635,21.53,20.76346778869629,,,,0.0008
127,2.112981455666678,21.504,20.779285192489624,,,,0.0008
128,2.1118754099826424,21.48,20.78567123413086,,,,0.0008
129,2.1070917479845943,21.426,20.757431745529175,,,,0.0008
130,2.110582026291867,21.496,20.729088306427002,2.1202866792678834,21.22,1.955148458480835,0.0008
131,2.1076337512658565,21.454,20.769896984100342,,,,0.0008
132,2.104372275118925,21.618,20.786756992340088,,,,0.0008
133,2.126262309599896,20.922,20.74767255783081,,,,0.0008
134,2.131673114640372,20.818,20.747545957565308,,,,0.0008
135,2.122503550685182,21.272,20.775852918624878,2.1368090987205504,21.04,1.9558422565460205,0.0008
136,2.1291453546407273,21.014,20.767289638519287,,,,0.0008
137,2.12485903866437,20.908,20.76197052001953,,,,0.0008
138,2.11410312202512,21.332,20.746773958206177,,,,0.0008
139,2.111305904631712,21.21,20.74816370010376,,,,0.0008
140,2.116490733866789,20.85,20.755111932754517,2.1195654064416884,21.02,1.9593992233276367,0.0008
141,2.1131482282463385,21.206,20.74314832687378,,,,0.0008
142,2.1078865430792986,21.016,20.73776078224182,,,,0.0008
