Epoch,Train Loss,Train Accuracy,Train Time (s),Test Loss,Test Accuracy,Inference Time (s),Learning Rate
1,1.8295781314373016,31.346,18.0767879486084,,,,0.0008
2,1.4907996502457832,45.232,15.97831678390503,,,,0.0008
3,1.344077317082152,50.826,15.994420051574707,,,,0.0008
4,1.2331895712687044,55.162,15.994964361190796,,,,0.0008
5,1.158590777796142,58.194,16.001800060272217,1.0880375638604165,60.77,1.5593571662902832,0.0008
6,1.069298276487662,61.312,15.598703861236572,,,,0.0008
7,0.9957645200953191,64.366,15.619394779205322,,,,0.0008
8,0.9430793815729569,65.986,15.607424974441528,,,,0.0008
9,0.8960156693142287,68.012,15.627458095550537,,,,0.0008
10,0.8480353650389886,69.852,15.622716665267944,0.866688123345375,68.82,1.542346715927124,0.0008
11,0.8097200421046238,71.194,15.674995183944702,,,,0.0008
12,0.781408778866943,72.296,15.64867115020752,,,,0.0008
13,0.7445757310001218,73.456,15.614240884780884,,,,0.0008
14,0.7225289280925479,74.542,15.609483480453491,,,,0.0008
15,0.6874128826418702,75.67,15.593584775924683,0.7433811627328396,73.69,1.5485420227050781,0.0008
16,0.6642698484415911,76.638,15.640986680984497,,,,0.0008
17,0.6422064731619797,77.082,15.610122919082642,,,,0.0008
18,0.6200040651827442,78.052,15.598497152328491,,,,0.0008
19,0.6012669622289891,78.718,15.587451696395874,,,,0.0008
20,0.5783240259910116,79.68,15.595243453979492,0.6704462200403214,76.54,1.5468852519989014,0.0008
21,0.5564300995700213,80.306,15.618628025054932,,,,0.0008
22,0.5454489967348625,80.684,15.596591711044312,,,,0.0008
23,0.5271485609059431,81.22,15.606125593185425,,,,0.0008
24,0.5142836228621249,81.73,15.614243984222412,,,,0.0008
25,0.4969476691010047,82.22,15.6016685962677,0.6215843111276627,78.32,1.542062520980835,0.0008
26,0.47993661143950056,82.902,15.602212190628052,,,,0.0008
27,0.4628279922263963,83.47,15.618478059768677,,,,0.0008
28,0.4549398747633915,83.804,15.615426540374756,,,,0.0008
29,0.432600554915107,84.606,15.587485074996948,,,,0.0008
30,0.4192017073533973,85.04,15.609404563903809,0.6434744670987129,78.88,1.5394389629364014,0.0008
31,0.40913111974998395,85.4,15.596037149429321,,,,0.0008
32,0.3977840328399016,85.808,15.599831581115723,,,,0.0008
33,0.3843794338101027,86.092,15.645530939102173,,,,0.0008
34,0.3751230218580791,86.504,15.600446939468384,,,,0.0008
35,0.3560397034244878,87.194,15.606000423431396,0.6763385407626629,78.69,1.5453300476074219,0.0008
36,0.3478931835567465,87.366,15.605321407318115,,,,0.0008
37,0.3348359430626947,88.028,15.599299430847168,,,,0.0008
38,0.32642731138942194,88.252,15.626928091049194,,,,0.0008
39,0.3121946053389384,88.792,15.642376184463501,,,,0.0008
40,0.3018067267020138,89.164,15.599981546401978,0.652372433245182,79.54,1.5293164253234863,0.0008
41,0.2925208594878109,89.502,15.604819059371948,,,,0.0008
42,0.28279112575917825,89.822,15.620958805084229,,,,0.0008
43,0.26462037108686504,90.364,15.601296424865723,,,,0.0008
44,0.26405542967270834,90.434,15.58998966217041,,,,0.0008
45,0.25985450540878335,90.5,15.611262798309326,0.6933519259095192,79.31,1.5362799167633057,0.0008
46,0.2465849591000956,90.998,15.581449270248413,,,,0.0008
47,0.23950133138165183,91.338,15.60361385345459,,,,0.0008
48,0.23034210902239596,91.752,15.612502813339233,,,,0.0008
49,0.23079726845026016,91.618,15.604536294937134,,,,0.0008
50,0.21725943091572547,92.158,15.635217189788818,0.7132016897201539,79.22,1.5330936908721924,0.0008
51,0.2128998216013519,92.314,15.602861881256104,,,,0.0008
52,0.2030803858473593,92.64,15.591573476791382,,,,0.0008
53,0.19606268691013054,92.8,15.626060247421265,,,,0.0008
54,0.1978555419007126,92.86,15.596459150314331,,,,0.0008
55,0.18600417118595572,93.304,15.622309684753418,0.7220810726284981,79.68,1.5399773120880127,0.0008
56,0.1843296189849474,93.402,15.608152389526367,,,,0.0008
57,0.1775537508786941,93.626,15.614291667938232,,,,0.0008
58,0.1703428444357551,93.992,15.637020587921143,,,,0.0008
59,0.16890478784180418,93.854,15.671044111251831,,,,0.0008
60,0.1646474443984275,94.104,15.623202800750732,0.7178580179810524,80.83,1.5406019687652588,0.0008
61,0.15458019883656987,94.354,15.617046356201172,,,,0.0008
62,0.15686611907214534,94.394,15.621848344802856,,,,0.0008
63,0.15374448138992397,94.536,15.622950315475464,,,,0.0008
64,0.1526950123358746,94.516,15.622265577316284,,,,0.0008
65,0.15183437771486993,94.618,15.618244886398315,0.7991491116583347,79.05,1.5403587818145752,0.0008
66,0.14429877985420883,94.698,15.61904263496399,,,,0.0008
67,0.1417726112187517,94.904,15.622480392456055,,,,0.0008
68,0.13107315074576406,95.298,15.656092882156372,,,,0.0008
69,0.13493762950279883,95.246,15.638569593429565,,,,0.0008
