Epoch,Train Loss,Train Accuracy,Train Time (s),Test Loss,Test Accuracy,Inference Time (s),Learning Rate
1,1.7803299110762927,33.286,11.885883808135986,,,,0.0008
2,1.4338713671479906,47.698,9.821110963821411,,,,0.0008
3,1.2932678223872671,53.238,9.880347490310669,,,,0.0008
4,1.2153416151294902,56.24,9.895273208618164,,,,0.0008
5,1.1455530506007525,58.846,9.904889822006226,1.0676570296287538,62.18,1.0331988334655762,0.0008
6,1.03652488029733,62.992,9.190574169158936,,,,0.0008
7,0.9790009272341825,64.79,9.234198570251465,,,,0.0008
8,0.9355112749094866,66.786,9.255534172058105,,,,0.0008
9,0.8963546305894852,68.032,9.225664854049683,,,,0.0008
10,0.8591876139446181,69.38,9.27914309501648,0.8387710630893708,70.41,1.038524866104126,0.0008
11,0.8238213497157,70.752,9.246134519577026,,,,0.0008
12,0.7912843206099102,71.758,9.260786056518555,,,,0.0008
13,0.7564314938321406,73.132,9.296583414077759,,,,0.0008
14,0.7319025242207001,73.99,9.294123649597168,,,,0.0008
15,0.7040935085744274,75.04,9.30268144607544,0.7480503916740417,73.44,1.012976884841919,0.0008
16,0.6800705617179676,75.838,9.31488299369812,,,,0.0008
17,0.6559060377125837,76.804,9.30861520767212,,,,0.0008
18,0.6341017320448038,77.446,9.322924137115479,,,,0.0008
19,0.6151797284885329,78.092,9.30558180809021,,,,0.0008
20,0.5964680481321958,79.014,9.30732774734497,0.6611630737781524,77.48,1.035944938659668,0.0008
21,0.5794975579697259,79.562,9.311220169067383,,,,0.0008
22,0.5558287963575247,80.35,9.29862380027771,,,,0.0008
23,0.5456932317845675,80.67,9.30973482131958,,,,0.0008
24,0.5259345138863641,81.396,9.320552349090576,,,,0.0008
25,0.5051256062424913,82.12,9.316906452178955,0.6302966594696044,78.7,1.0185024738311768,0.0008
26,0.4970727844201789,82.314,9.307588338851929,,,,0.0008
27,0.4714677539102885,83.44,9.300376176834106,,,,0.0008
28,0.4647677312700116,83.472,9.361117839813232,,,,0.0008
29,0.45389164193552367,83.884,9.302584171295166,,,,0.0008
30,0.44730066279975733,84.196,9.291802883148193,0.576276459544897,80.81,1.0287909507751465,0.0008
31,0.42236919168915066,84.924,9.306051015853882,,,,0.0008
32,0.41665135962622507,85.072,9.292792320251465,,,,0.0008
33,0.40214878077409705,85.67,9.302003383636475,,,,0.0008
34,0.38752482892299184,86.284,9.339442491531372,,,,0.0008
35,0.3789090766590469,86.644,9.342129707336426,0.5816164404153824,80.27,1.0192296504974365,0.0008
36,0.37042610879455296,86.792,9.295163869857788,,,,0.0008
37,0.3548093311184523,87.31,9.32797908782959,,,,0.0008
38,0.34925795376909025,87.546,9.301135063171387,,,,0.0008
39,0.3355439510576579,88.158,9.297080516815186,,,,0.0008
40,0.3328697203981633,88.166,9.370490312576294,0.5753905914723874,81.77,1.0134773254394531,0.0008
41,0.3184984526311865,88.538,9.306662321090698,,,,0.0008
42,0.3054897421020634,89.0,9.309266805648804,,,,0.0008
43,0.2949569593278729,89.56,9.321203708648682,,,,0.0008
44,0.2859693835584485,89.812,9.315379858016968,,,,0.0008
45,0.28173330449024026,89.816,9.298338413238525,0.5884694680571556,81.6,1.0150635242462158,0.0008
46,0.272705616391435,90.294,9.341553449630737,,,,0.0008
47,0.2675750464657132,90.506,9.311438798904419,,,,0.0008
48,0.26159211962806933,90.546,9.316580772399902,,,,0.0008
49,0.2494050634986892,91.054,9.320048332214355,,,,0.0008
50,0.24296102216657328,91.394,9.312739372253418,0.6214071914553643,81.6,1.014183521270752,0.0008
51,0.23587406004722022,91.586,9.310603857040405,,,,0.0008
52,0.23063766659826648,91.556,9.291348695755005,,,,0.0008
53,0.21932756855171553,92.07,9.301136493682861,,,,0.0008
54,0.21805430659834218,92.136,9.294802188873291,,,,0.0008
55,0.2067504923942746,92.642,9.31146240234375,0.6403794191777706,81.91,1.0236239433288574,0.0008
56,0.20696249007418446,92.576,9.293832540512085,,,,0.0008
57,0.2066386760573606,92.564,9.306908130645752,,,,0.0008
58,0.19090662026131638,93.238,9.307169675827026,,,,0.0008
59,0.19126592667735354,93.184,9.313300609588623,,,,0.0008
60,0.1928924964170675,93.046,9.330213785171509,0.6486803814768791,81.73,1.0361907482147217,0.0008
61,0.17461107302533121,93.82,9.312373876571655,,,,0.0008
62,0.17348441641245568,93.89,9.32018232345581,,,,0.0008
63,0.1665720742728029,94.056,9.289762496948242,,,,0.0008
64,0.17285160803977323,93.842,9.30317234992981,,,,0.0008
