Epoch,Train Loss,Train Accuracy,Train Time (s),Test Loss,Test Accuracy,Inference Time (s)
1,1.5596850735452168,43.71,23.934037923812866,,,
2,1.2914977527945244,53.642,22.326030015945435,,,
3,1.1626376055390633,58.386,22.525717973709106,,,
4,1.0504927752572861,62.328,22.572788953781128,,,
5,0.948830422461795,66.32,22.725096464157104,1.1854127265845136,59.18,2.734494686126709
6,0.7808609004978024,72.324,22.299368619918823,,,
7,0.6401332793638225,77.23,22.32414436340332,,,
8,0.5019337570918795,82.206,21.546528339385986,,,
9,0.3955767662133402,85.92,21.946519374847412,,,
10,0.3119210931746399,89.112,21.88448739051819,1.5547120024444192,58.69,2.709522008895874
11,0.24925695941843035,91.14,21.933745622634888,,,
12,0.2143086379303423,92.336,21.945042610168457,,,
13,0.1910956428788812,93.274,21.950048208236694,,,
14,0.15905582039233515,94.364,21.919452667236328,,,
15,0.15241596026255574,94.588,21.925447940826416,1.9710978349302983,57.4,2.3620645999908447
16,0.14339470146628824,94.94,21.750341415405273,,,
17,0.12077820216736677,95.756,21.942338943481445,,,
18,0.13411749029994163,95.3,21.930193424224854,,,
19,0.10959670978629261,96.21,21.95973563194275,,,
20,0.10825420034896878,96.258,21.9381844997406,2.0752926700434107,58.87,2.7139034271240234
21,0.11427275283390756,95.97,21.983200550079346,,,
22,0.10099776324284884,96.506,21.977813720703125,,,
23,0.09737197254144865,96.642,21.4372456073761,,,
24,0.09786673827701822,96.554,22.004210948944092,,,
25,0.08597716309703038,97.032,22.00740623474121,2.1346518746606864,59.1,2.721238374710083
26,0.08976854681950824,96.798,22.026945114135742,,,
27,0.08455972013312638,97.136,22.04901933670044,,,
28,0.08543153879258905,97.008,22.069162845611572,,,
29,0.08230731463717188,97.18,22.0541889667511,,,
30,0.07651344204233373,97.37,22.058003902435303,2.2515881243784714,59.28,2.73557710647583
