Epoch,Train Loss,Train Accuracy,Train Time (s),Test Loss,Test Accuracy,Inference Time (s)
1,1.884908092,28.66,22.02879834,,,
2,1.588044734,41.138,19.71287298,,,
3,1.448041789,46.84,19.64251161,,,
4,1.362791989,50.316,19.82183862,,,
5,1.295489774,52.618,19.85486341,1.212622593,56.27,2.081516743
6,1.19638579,56.796,19.22534561,,,
7,1.147229293,58.91,19.02442741,,,
8,1.104545922,60.478,19.02847242,,,
9,1.064722488,61.744,19.11948395,,,
10,1.029443999,63.196,19.09116173,0.983359169,65.47,2.073087692
11,1.003075485,64.148,19.09595633,,,
12,0.969239168,65.124,19.11417174,,,
13,0.938415702,66.562,19.08487797,,,
14,0.917145667,67.542,19.06906629,,,
15,0.887074355,68.488,19.07699776,0.866569922,69.7,2.070645094
16,0.863191398,69.374,19.06233764,,,
17,0.84828909,69.798,19.08645344,,,
18,0.824764205,70.866,19.08086944,,,
19,0.801538158,71.556,19.06405425,,,
20,0.783639118,72.138,19.05131626,0.801403492,71.45,2.071554899
21,0.769108408,72.738,19.05037308,,,
22,0.746744311,73.62,19.16496587,,,
23,0.737129131,73.914,19.35588789,,,
24,0.721593231,74.536,19.13415694,,,
25,0.711324914,74.76,19.14585519,0.715846374,75.44,2.080896854
26,0.696787849,75.268,19.15729523,,,
27,0.676308425,75.996,19.10521913,,,
28,0.664299461,76.562,19.02145314,,,
29,0.659394657,76.756,19.03555179,,,
30,0.646417762,76.86,19.07070065,0.680045637,76.24,2.067939758
31,0.636104658,77.284,19.04172826,,,
32,0.62275504,78.012,19.02602077,,,
33,0.611971586,78.372,19.1174469,,,
34,0.602184103,78.8,19.16714621,,,
35,0.592980846,78.88,19.22126842,0.641230918,77,2.084412336
36,0.584634462,79.406,19.14385891,,,
37,0.571602165,79.66,19.11598492,,,
38,0.567176417,79.898,19.08590317,,,
39,0.555695895,80.274,19.1288116,,,
40,0.550134075,80.368,19.15314817,0.618306199,78.4,2.079591036
41,0.543061706,80.72,19.18458438,,,
42,0.537447818,80.974,19.14088464,,,
43,0.528319206,81.384,19.10344481,,,
44,0.520801975,81.636,19.11557674,,,
45,0.51273738,81.788,19.25765371,0.631037621,78.15,2.088231087
46,0.510570613,81.816,19.23316693,,,
47,0.497405124,82.43,19.17180753,,,
48,0.497285591,82.386,19.1475904,,,
49,0.493880396,82.522,19.11211109,,,
50,0.486246163,82.516,19.14775658,0.600967022,79.4,2.086983919
51,0.481702296,82.822,19.18015623,,,
52,0.474639003,82.99,19.17931294,,,
53,0.466337654,83.312,19.18691134,,,
54,0.464785098,83.564,19.1844759,,,
55,0.455683913,83.72,19.16675282,0.590525977,79.84,2.064415693
56,0.453271514,83.88,19.0776608,,,
57,0.447574464,83.986,19.12886119,,,
58,0.442747213,84.328,19.13830256,,,
59,0.442981011,84.126,19.10767531,,,
60,0.435327046,84.508,19.02483535,0.592831593,80.04,2.066613197
61,0.432588959,84.774,19.02893543,,,
62,0.425435266,84.868,19.07230639,,,
63,0.421084471,84.89,19.15817022,,,
64,0.417145342,85.124,19.07079101,,,
65,0.408539832,85.442,19.07796454,0.585062041,80.41,2.081444502
66,0.409344868,85.254,19.0832057,,,
67,0.405801795,85.584,19.01496243,,,
68,0.396862039,85.986,19.03400421,,,
69,0.398482318,85.766,19.07755828,,,
70,0.393522814,85.804,19.10906696,0.600612849,79.81,2.074385643
71,0.386167975,86.328,19.08195472,,,
72,0.385123849,86.21,19.07320595,,,
73,0.378635798,86.564,19.09019136,,,
74,0.378955093,86.364,19.03784347,,,
75,0.375393751,86.706,19.04081178,0.586243167,80.31,2.080585718
76,0.371032277,86.706,19.05453324,,,
77,0.367139764,86.83,19.03996229,,,
78,0.363945814,86.96,19.09755802,,,
79,0.363877089,86.948,19.33832884,,,
80,0.360326638,87.064,19.27423048,0.597522541,80.37,2.096514225
,,,,,,
Args Information,,,,,,
image_size,32,,,,,
patch_size,4,,,,,
num_classes,10,,,,,
dim,128,,,,,
depth,6,,,,,
heads,4,,,,,
mlp_dim,256,,,,,
pool,cls,,,,,
channels,3,,,,,
dim_head,64,,,,,
dropout,0.1,,,,,
emb_dropout,0.1,,,,,
batch_size,128,,,,,
num_epochs,80,,,,,
learning_rate,0.0005,,,,,
epoch_step,5,,,,,
csv_file,vit_original.csv,,,,,
